Trimestre;Distrito;Concelho;Freguesia;Potência Máxima Admissível (kW);Pontos de ligação para instalações de PCVE;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024T2;Beja;Beja;Beja (Santiago Maior e São João Baptista);250.0;1;02;0205;020521
2024T2;Lisboa;Odivelas;Odivelas;49.5;1;11;1116;111603
2024T2;Lisboa;Torres Vedras;Silveira;6.9;1;11;1113;111316
2024T2;Santarém;Salvaterra de Magos;Marinhais;630.0;1;14;1415;141502
2024T2;Castelo Branco;Castelo Branco;Castelo Branco;51.75;1;05;0502;050205
2024T2;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;10.35;4;13;1308;130811
2024T2;Setúbal;Barreiro;Santo António da Charneca;10.35;2;15;1504;150407
2024T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;6.9;3;13;1308;130812
2024T2;Santarém;Tomar;São João Baptista e Santa Maria dos Olivais;630.0;1;14;1418;141821
2024T2;Lisboa;Cascais;Cascais e Estoril;10.35;11;11;1105;110508
2024T2;Lisboa;Oeiras;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;17.25;2;11;1110;111014
2024T2;Santarém;Santarém;União das freguesias da cidade de Santarém;13.8;2;14;1416;141633
2024T2;Lisboa;Odivelas;Pontinha e Famões;630.0;1;11;1116;111608
2024T2;Coimbra;Mira;Mira;250.0;2;06;0608;060801
2024T2;Aveiro;Aveiro;Esgueira;100.0;4;01;0105;010505
2024T2;Porto;Felgueiras;Vila Cova da Lixa e Borba de Godim;140.0;1;13;1303;130339
2024T2;Coimbra;Figueira da Foz;Tavarede;113.7;1;06;0605;060512
2024T2;Setúbal;Sines;Sines;160.0;1;15;1513;151301
2024T2;Viseu;Armamar;Vila Seca e Santo Adrião;630.0;1;18;1801;180123
2024T2;Lisboa;Sintra;Queluz e Belas;10.35;5;11;1111;111126
2024T2;Lisboa;Lisboa;Parque das Nações;110.0;1;11;1106;110662
2024T2;Lisboa;Sintra;Algueirão-Mem Martins;10.35;2;11;1111;111102
2024T2;Lisboa;Odivelas;Ramada e Caneças;126.0;1;11;1116;111610
2024T2;Coimbra;Coimbra;Assafarge e Antanhol;6.9;2;06;0603;060333
2024T2;Setúbal;Setúbal;Azeitão (São Lourenço e São Simão);10.35;8;15;1512;151209
2024T2;Setúbal;Alcochete;Alcochete;60.0;1;15;1502;150201
2024T2;Lisboa;Sobral de Monte Agraço;Sapataria;20.7;1;11;1112;111202
2024T2;Lisboa;Lisboa;Santo António;20.7;1;11;1106;110666
2024T2;Porto;Maia;Nogueira e Silva Escura;10.35;1;13;1306;130620
2024T2;Porto;Vila Nova de Gaia;Canidelo;6.9;2;13;1317;131704
2024T2;Braga;Braga;Braga (São Vítor);180.0;1;03;0303;030351
2024T2;Lisboa;Cascais;Alcabideche;13.8;4;11;1105;110501
2024T2;Coimbra;Condeixa-a-Nova;Sebal e Belide;6.9;2;06;0604;060412
2024T2;Porto;Vila do Conde;Vila do Conde;250.0;1;13;1316;131628
2024T2;Porto;Gondomar;Rio Tinto;49.5;1;13;1304;130408
2024T2;Porto;Porto;Ramalde;49.5;1;13;1312;131211
2024T2;Lisboa;Lisboa;Parque das Nações;295.0;1;11;1106;110662
2024T2;Lisboa;Cascais;Alcabideche;10.35;12;11;1105;110501
2024T2;Lisboa;Alenquer;Alenquer (Santo Estêvão e Triana);10.35;1;11;1101;110119
2024T2;Lisboa;Cascais;São Domingos de Rana;20.7;8;11;1105;110506
2024T2;Lisboa;Mafra;Mafra;41.4;2;11;1109;110909
2024T2;Braga;Póvoa de Lanhoso;Campos e Louredo;250.0;1;03;0309;030932
2024T2;Leiria;Peniche;Peniche;69.0;2;10;1014;101407
2024T2;Lisboa;Loures;Loures;10.35;4;11;1107;110707
2024T2;Porto;Vila do Conde;Labruge;100.5;1;13;1316;131613
2024T2;Lisboa;Lisboa;Avenidas Novas;500.0;2;11;1106;110657
2024T2;Lisboa;Sintra;Algueirão-Mem Martins;6.9;1;11;1111;111102
2024T2;Setúbal;Palmela;Palmela;10.35;3;15;1508;150802
2024T2;Lisboa;Oeiras;Porto Salvo;10.35;7;11;1110;111009
2024T2;Lisboa;Cascais;Carcavelos e Parede;10.35;10;11;1105;110507
2024T2;Lisboa;Vila Franca de Xira;Póvoa de Santa Iria e Forte da Casa;6.9;5;11;1114;111415
2024T2;Setúbal;Seixal;Seixal, Arrentela e Aldeia de Paio Pires;6.9;2;15;1510;151007
2024T2;Lisboa;Oeiras;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;10.35;5;11;1110;111012
2024T2;Faro;Tavira;Tavira (Santa Maria e Santiago);315.0;1;08;0814;081412
2024T2;Porto;Maia;Cidade da Maia;41.4;1;13;1306;130619
2024T2;Braga;Braga;Braga (Maximinos, Sé e Cividade);250.0;1;03;0303;030364
2024T2;Setúbal;Barreiro;Palhais e Coina;250.0;1;15;1504;150411
2024T2;Porto;Santo Tirso;St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães;3600.0;1;13;1314;131437
2024T2;Lisboa;Mafra;Mafra;6.9;6;11;1109;110909
2024T2;Porto;Lousada;Silvares, Pias, Nogueira e Alvarenga;250.0;1;13;1305;130532
2024T2;Lisboa;Lisboa;Misericórdia;88.0;1;11;1106;110661
2024T2;Lisboa;Oeiras;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;85.0;1;11;1110;111012
2024T2;Santarém;Torres Novas;Torres Novas (Santa Maria, Salvador e Santiago);138.0;1;14;1419;141920
2024T2;Lisboa;Oeiras;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;13.8;1;11;1110;111012
2024T2;Lisboa;Oeiras;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;20.7;8;11;1110;111014
2024T2;Lisboa;Lisboa;São Domingos de Benfica;250.0;2;11;1106;110639
2024T2;Braga;Braga;Ferreiros e Gondizalves;315.0;1;03;0303;030371
2024T2;Castelo Branco;Covilhã;Dominguizo;41.4;1;05;0503;050309
2024T2;Braga;Vieira do Minho;Vieira do Minho;200.0;1;03;0311;031120
2024T2;Braga;Barcelos;Barcelos, V. Boa, V. Frescainha;1200.0;1;03;0302;030293
2024T2;Braga;Braga;Nogueira, Fraião e Lamaçães;200.0;1;03;0303;030377
2024T2;Santarém;Cartaxo;Vila Chã de Ourique;400.0;1;14;1406;140607
2024T2;Braga;Fafe;Quinchães;630.0;1;03;0307;030722
2024T2;Setúbal;Seixal;Corroios;400.0;1;15;1510;151005
2024T2;Porto;Paços de Ferreira;Frazão Arreigada;41.4;1;13;1309;130917
2024T2;Braga;Barcelos;Barcelos, V. Boa, V. Frescainha;6.9;1;03;0302;030293
2024T2;Leiria;Porto de Mós;Calvaria de Cima;400.0;2;10;1016;101605
2024T2;Lisboa;Mafra;Malveira e São Miguel de Alcainça;630.0;2;11;1109;110921
2024T2;Setúbal;Seixal;Corroios;10.35;2;15;1510;151005
2024T2;Castelo Branco;Fundão;Fundão, Valverde, Donas, A. Joanes, A. Nova do Cabo;400.0;3;05;0504;050434
2024T2;Lisboa;Loures;Loures;20.7;5;11;1107;110707
2024T2;Porto;Vila Nova de Gaia;Canidelo;400.0;2;13;1317;131704
2024T2;Porto;Maia;Pedrouços;6.9;1;13;1306;130617
2024T2;Porto;Vila do Conde;Modivas;2000.0;1;13;1316;131617
2024T2;Santarém;Santarém;União das freguesias da cidade de Santarém;250.0;1;14;1416;141633
2024T2;Setúbal;Seixal;Seixal, Arrentela e Aldeia de Paio Pires;1750.0;1;15;1510;151007
2024T2;Coimbra;Soure;Soure;400.0;1;06;0615;061509
2024T2;Aveiro;São João da Madeira;São João da Madeira;400.0;1;01;0116;011601
2024T2;Lisboa;Odivelas;Odivelas;66.0;1;11;1116;111603
2024T2;Porto;Póvoa de Varzim;Póvoa de Varzim, Beiriz e Argivai;20.7;4;13;1313;131315
2024T2;Setúbal;Almada;Almada, Cova da Piedade, Pragal e Cacilhas;400.0;1;15;1503;150312
2024T2;Setúbal;Barreiro;Alto do Seixalinho, Santo André e Verderena;13.8;1;15;1504;150409
2024T2;Lisboa;Loures;Loures;150.0;1;11;1107;110707
2024T2;Leiria;Alvaiázere;Pussos São Pedro;49.5;1;10;1002;100209
2024T2;Lisboa;Oeiras;Carnaxide e Queijas;350.0;1;11;1110;111013
2024T2;Lisboa;Amadora;Águas Livres;6.9;4;11;1115;111513
2024T2;Lisboa;Sintra;Almargem do Bispo, Pêro Pinheiro e Montelavar;13.8;2;11;1111;111123
2024T2;Setúbal;Barreiro;Santo António da Charneca;17.25;1;15;1504;150407
2024T2;Porto;Penafiel;Guilhufe e Urrô;100.0;1;13;1311;131141
2024T2;Braga;Vila Nova de Famalicão;Pousada de Saramagos;15000.0;1;03;0312;031232
2024T2;Porto;Lousada;Cristelos, Boim e Ordem;630.0;1;13;1305;130528
2024T2;Braga;Braga;Real, Dume e Semelhe;55.0;1;03;0303;030379
2024T2;Porto;Vila Nova de Gaia;Arcozelo;400.0;2;13;1317;131701
2024T2;Lisboa;Lisboa;Parque das Nações;10.35;7;11;1106;110662
2024T2;Faro;Loulé;Loulé (São Sebastião);145.0;1;08;0808;080809
2024T2;Porto;Gondomar;Gondomar (São Cosme), Valbom e Jovim;400.0;2;13;1304;130415
2024T2;Setúbal;Sines;Sines;10.35;3;15;1513;151301
2024T2;Leiria;Caldas da Rainha;Nossa Senhora do Pópulo, Coto e São Gregório;2000.0;1;10;1006;100617
2024T2;Lisboa;Mafra;Igreja Nova e Cheleiros;20.7;1;11;1109;110920
2024T2;Lisboa;Mafra;Mafra;400.0;1;11;1109;110909
2024T2;Lisboa;Lisboa;Belém;17.25;1;11;1106;110658
2024T2;Lisboa;Azambuja;Vila Nova da Rainha;10.35;1;11;1103;110307
2024T2;Lisboa;Lisboa;Alcântara;630.0;2;11;1106;110602
2024T2;Lisboa;Loures;Santa Iria de Azoia, São João da Talha e Bobadela;6.9;2;11;1107;110728
2024T2;Santarém;Almeirim;Almeirim;6.9;3;14;1403;140301
2024T2;Aveiro;Oliveira do Bairro;Oliveira do Bairro;200.0;1;01;0114;011404
2024T2;Porto;Porto;Lordelo do Ouro e Massarelos;1000.0;1;13;1312;131218
2024T2;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;20.7;4;13;1317;131730
2024T2;Braga;Vizela;Caldas de Vizela (São Miguel e São João);6.9;1;03;0314;031408
2024T2;Coimbra;Coimbra;Santo António dos Olivais;20.7;5;06;0603;060318
2024T2;Santarém;Rio Maior;Marmeleira e Assentiz;6.9;1;14;1414;141416
2024T2;Lisboa;Lisboa;Lumiar;10.35;7;11;1106;110618
2024T2;Faro;Lagos;São Gonçalo de Lagos;630.0;2;08;0807;080708
2024T2;Lisboa;Oeiras;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;750.0;1;11;1110;111014
2024T2;Porto;Gondomar;Rio Tinto;34.5;1;13;1304;130408
2024T2;Portalegre;Alter do Chão;Alter do Chão;85.0;1;12;1201;120101
2024T2;Faro;Loulé;Loulé (São Clemente);1000.0;1;08;0808;080808
2024T2;Lisboa;Lisboa;Parque das Nações;100.0;1;11;1106;110662
2024T2;Guarda;Guarda;Guarda;2000.0;1;09;0907;090758
2024T2;Lisboa;Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;34.5;3;11;1111;111128
2024T2;Porto;Trofa;Bougado (São Martinho e Santiago);630.0;1;13;1318;131810
2024T2;Porto;Vila Nova de Gaia;Canidelo;13.8;4;13;1317;131704
2024T2;Coimbra;Oliveira do Hospital;Oliveira do Hospital e São Paio de Gramaços;13.8;1;06;0611;061124
2024T2;Viana do Castelo;Viana do Castelo;Santa Maria Maior e Monserrate e Meadela;315.0;2;16;1609;160948
2024T2;Braga;Braga;Tebosa;125.0;1;03;0303;030357
2024T2;Lisboa;Oeiras;Carnaxide e Queijas;3500.0;1;11;1110;111013
2024T2;Santarém;Torres Novas;Riachos;630.0;1;14;1419;141910
2024T2;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;110.0;1;13;1308;130811
2024T2;Faro;Loulé;Almancil;34.5;1;08;0808;080801
2024T2;Leiria;Leiria;Marrazes e Barosa;200.0;2;10;1009;100934
2024T2;Lisboa;Lourinhã;Lourinhã e Atalaia;630.0;1;11;1108;110812
2024T2;Porto;Valongo;Ermesinde;400.0;3;13;1315;131503
2024T2;Porto;Porto;Paranhos;10.35;3;13;1312;131210
2024T2;Lisboa;Loures;Moscavide e Portela;10.35;2;11;1107;110726
2024T2;Setúbal;Grândola;Carvalhal;73.0;1;15;1505;150505
2024T2;Viana do Castelo;Arcos de Valdevez;Arcos de Valdevez (Salvador), Vila Fonche e Parada;400.0;1;16;1601;160154
2024T2;Lisboa;Lisboa;Parque das Nações;1600.0;1;11;1106;110662
2024T2;Porto;Gondomar;Rio Tinto;10.35;3;13;1304;130408
2024T2;Aveiro;Anadia;Arcos e Mogofores;400.0;2;01;0103;010317
2024T2;Lisboa;Oeiras;Carnaxide e Queijas;162.0;1;11;1110;111013
2024T2;Setúbal;Almada;Almada, Cova da Piedade, Pragal e Cacilhas;146.0;1;15;1503;150312
2024T2;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;138.0;1;13;1308;130811
2024T2;Porto;Póvoa de Varzim;Laundos;1950.0;1;13;1313;131308
2024T2;Leiria;Óbidos;Amoreira;250.0;1;10;1012;101202
2024T2;Braga;Braga;Lomar e Arcos;6.9;2;03;0303;030373
2024T2;Lisboa;Cascais;Cascais e Estoril;170.0;1;11;1105;110508
2024T2;Lisboa;Sobral de Monte Agraço;Sapataria;6.9;1;11;1112;111202
2024T2;Lisboa;Loures;Sacavém e Prior Velho;10.35;4;11;1107;110727
2024T2;Braga;Braga;Real, Dume e Semelhe;500.0;1;03;0303;030379
2024T2;Lisboa;Sintra;Queluz e Belas;13.8;3;11;1111;111126
2024T2;Porto;Valongo;Valongo;6.9;3;13;1315;131505
2024T2;Braga;Braga;Celeirós, Aveleda e Vimieiro;10.35;1;03;0303;030367
2024T2;Faro;Albufeira;Ferreiras;400.0;1;08;0801;080104
2024T2;Faro;Vila Real de Santo António;Vila Real de Santo António;20.7;1;08;0816;081602
2024T2;Faro;Lagos;São Gonçalo de Lagos;400.0;2;08;0807;080708
2024T2;Viseu;Viseu;Fragosela;6.9;1;18;1823;182315
2024T2;Setúbal;Alcácer do Sal;Santa Maria do Castelo e Santiago e Santa Susana;10.35;1;15;1501;150107
2024T2;Bragança;Mirandela;Mirandela;400.0;1;04;0407;040721
2024T2;Lisboa;Cascais;Cascais e Estoril;34.5;2;11;1105;110508
2024T2;Évora;Évora;Bacelo e Senhora da Saúde;630.0;1;07;0705;070522
2024T2;Faro;Albufeira;Albufeira e Olhos de Água;400.0;1;08;0801;080106
2024T2;Portalegre;Portalegre;Sé e São Lourenço;800.0;1;12;1214;121411
2024T2;Leiria;Porto de Mós;Mira de Aire;300.0;1;10;1016;101608
2024T2;Lisboa;Lisboa;Olivais;60.0;2;11;1106;110633
2024T2;Coimbra;Coimbra;Santo António dos Olivais;95.0;2;06;0603;060318
2024T2;Faro;Lagos;São Gonçalo de Lagos;20.7;2;08;0807;080708
2024T2;Leiria;Alcobaça;Benedita;200.0;1;10;1001;100105
2024T2;Viana do Castelo;Arcos de Valdevez;Paçô;400.0;1;16;1601;160124
2024T2;Braga;Braga;Ferreiros e Gondizalves;131.1;1;03;0303;030371
2024T2;Lisboa;Loures;Sacavém e Prior Velho;200.0;1;11;1107;110727
2024T2;Aveiro;Ílhavo;Gafanha da Nazaré;1000.0;1;01;0110;011006
2024T2;Coimbra;Coimbra;Taveiro, Ameal e Arzila;41.4;2;06;0603;060340
2024T2;Lisboa;Mafra;Milharado;6.9;2;11;1109;110911
2024T2;Évora;Évora;Bacelo e Senhora da Saúde;6.9;2;07;0705;070522
2024T2;Braga;Vila Nova de Famalicão;Brufe;20.7;1;03;0312;031206
2024T2;Setúbal;Barreiro;Barreiro e Lavradio;125.05;1;15;1504;150410
2024T2;Vila Real;Alijó;Alijó;200.0;1;17;1701;170101
2024T2;Lisboa;Lisboa;Arroios;34.5;3;11;1106;110656
2024T2;Lisboa;Loures;Bucelas;6.9;1;11;1107;110702
2024T2;Lisboa;Lisboa;Parque das Nações;300.0;2;11;1106;110662
2024T2;Lisboa;Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;20.7;6;11;1111;111128
2024T2;Coimbra;Coimbra;Santo António dos Olivais;400.0;2;06;0603;060318
2024T2;Lisboa;Torres Vedras;Santa Maria, São Pedro e Matacães;315.0;1;11;1113;111326
2024T2;Faro;Faro;Montenegro;6.9;2;08;0805;080506
2024T2;Viseu;Vouzela;Fataunços e Figueiredo das Donas;20.7;1;18;1824;182414
2024T2;Porto;Porto;Lordelo do Ouro e Massarelos;630.0;3;13;1312;131218
2024T2;Lisboa;Oeiras;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;68.0;1;11;1110;111012
2024T2;Aveiro;Aveiro;Cacia;150.0;2;01;0105;010502
2024T2;Beja;Beja;Beja (Santiago Maior e São João Baptista);192.0;1;02;0205;020521
2024T2;Lisboa;Odivelas;Ramada e Caneças;20.7;5;11;1116;111610
2024T2;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;130.0;1;13;1317;131730
2024T2;Faro;Tavira;Tavira (Santa Maria e Santiago);3200.0;1;08;0814;081412
2024T2;Aveiro;Sever do Vouga;Sever do Vouga;400.0;1;01;0117;011706
2024T2;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;1500.0;1;13;1308;130814
2024T2;Lisboa;Cascais;São Domingos de Rana;400.0;3;11;1105;110506
2024T2;Porto;Santo Tirso;St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães;630.0;2;13;1314;131437
2024T2;Lisboa;Lisboa;Lumiar;6.9;4;11;1106;110618
2024T2;Aveiro;Ovar;Ovar, S. João, Arada e S. Vicente de Pereira Jusã;34.5;1;01;0115;011509
2024T2;Santarém;Torres Novas;Torres Novas (Santa Maria, Salvador e Santiago);160.0;1;14;1419;141920
2024T2;Lisboa;Oeiras;Barcarena;6.9;1;11;1110;111002
2024T2;Castelo Branco;Castelo Branco;Póvoa de Rio de Moinhos e Cafede;315.0;1;05;0502;050231
2024T2;Aveiro;Aveiro;Esgueira;1000.0;1;01;0105;010505
2024T2;Lisboa;Mafra;Venda do Pinheiro e Santo Estêvão das Galés;13.8;1;11;1109;110922
2024T2;Leiria;Leiria;Monte Redondo e Carreira;6.9;1;10;1009;100936
2024T2;Lisboa;Vila Franca de Xira;Castanheira do Ribatejo e Cachoeiras;13.8;1;11;1114;111414
2024T2;Porto;Maia;Castêlo da Maia;13.8;1;13;1306;130618
2024T2;Porto;Porto;Ramalde;13.8;2;13;1312;131211
2024T2;Santarém;Benavente;Santo Estêvão;20.7;2;14;1405;140503
2024T2;Lisboa;Oeiras;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;34.5;2;11;1110;111014
2024T2;Leiria;Alcobaça;São Martinho do Porto;6.9;2;10;1001;100112
2024T2;Porto;Porto;Lordelo do Ouro e Massarelos;10.35;3;13;1312;131218
2024T2;Setúbal;Seixal;Fernão Ferro;6.9;2;15;1510;151006
2024T2;Braga;Braga;Nogueira, Fraião e Lamaçães;10.35;1;03;0303;030377
2024T2;Faro;Loulé;Quarteira;6.9;2;08;0808;080805
2024T2;Leiria;Leiria;Monte Real e Carvide;6.9;2;10;1009;100935
2024T2;Porto;Lousada;Silvares, Pias, Nogueira e Alvarenga;6.9;1;13;1305;130532
2024T2;Setúbal;Alcochete;Alcochete;3.45;1;15;1502;150201
2024T2;Lisboa;Oeiras;Carnaxide e Queijas;6.9;3;11;1110;111013
2024T2;Lisboa;Arruda dos Vinhos;Arruda dos Vinhos;20.7;1;11;1102;110202
2024T2;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;6.9;2;13;1317;131726
2024T2;Setúbal;Barreiro;Alto do Seixalinho, Santo André e Verderena;10.35;1;15;1504;150409
2024T2;Coimbra;Coimbra;Santa Clara e Castelo Viegas;20.7;1;06;0603;060336
2024T2;Lisboa;Torres Vedras;Ponte do Rol;20.7;1;11;1113;111310
2024T2;Vila Real;Chaves;Bustelo;10.35;1;17;1703;170305
2024T2;Lisboa;Sintra;Almargem do Bispo, Pêro Pinheiro e Montelavar;17.25;1;11;1111;111123
2024T2;Lisboa;Sintra;Colares;10.35;2;11;1111;111105
2024T2;Lisboa;Odivelas;Odivelas;13.8;1;11;1116;111603
2024T2;Setúbal;Setúbal;Setúbal (São Sebastião);3.45;1;15;1512;151205
2024T2;Lisboa;Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;10.35;3;11;1111;111128
2024T2;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;13.8;2;13;1308;130811
2024T2;Aveiro;Ovar;Ovar, S. João, Arada e S. Vicente de Pereira Jusã;80.0;1;01;0115;011509
2024T2;Santarém;Salvaterra de Magos;Salvaterra de Magos e Foros de Salvaterra;13.8;1;14;1415;141508
2024T2;Santarém;Santarém;União das freguesias da cidade de Santarém;6.9;3;14;1416;141633
2024T2;Braga;Braga;Braga (São Vicente);13.8;1;03;0303;030349
2024T2;Lisboa;Alenquer;Carnota;6.9;1;11;1101;110106
2024T2;Lisboa;Lisboa;Lumiar;17.25;3;11;1106;110618
2024T2;Setúbal;Setúbal;S. Julião, N. S. da Anunciada e S. Maria da Graça;6.9;1;15;1512;151210
2024T2;Lisboa;Sintra;Colares;20.7;3;11;1111;111105
2024T2;Lisboa;Sintra;Cacém e São Marcos;10.35;1;11;1111;111124
2024T2;Lisboa;Vila Franca de Xira;Póvoa de Santa Iria e Forte da Casa;20.7;2;11;1114;111415
2024T2;Porto;Santo Tirso;Aves;6.9;1;13;1314;131405
2024T2;Lisboa;Sintra;São João das Lampas e Terrugem;6.9;1;11;1111;111127
2024T2;Aveiro;Santa Maria da Feira;Santa Maria da Feira, Travanca, Sanfins e Espargo;10.35;3;01;0109;010935
2024T2;Setúbal;Almada;Charneca de Caparica e Sobreda;13.8;1;15;1503;150314
2024T2;Lisboa;Oeiras;Barcarena;17.25;1;11;1110;111002
2024T2;Lisboa;Odivelas;Odivelas;6.9;7;11;1116;111603
2024T2;Lisboa;Sintra;Rio de Mouro;10.35;2;11;1111;111108
2024T2;Santarém;Benavente;Samora Correia;6.9;2;14;1405;140502
2024T2;Braga;Braga;Braga (Maximinos, Sé e Cividade);90.0;1;03;0303;030364
2024T2;Braga;Guimarães;Creixomil;6.9;1;03;0308;030813
2024T2;Lisboa;Odivelas;Pontinha e Famões;6.9;4;11;1116;111608
2024T2;Lisboa;Lisboa;São Domingos de Benfica;34.5;2;11;1106;110639
2024T2;Porto;Porto;Aldoar, Foz do Douro e Nevogilde;13.8;1;13;1312;131216
2024T2;Vila Real;Chaves;Santa Maria Maior;34.5;1;17;1703;170350
2024T2;Porto;Porto;Ramalde;6.9;2;13;1312;131211
2024T2;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;34.5;3;13;1312;131217
2024T2;Vila Real;Murça;Murça;20.7;1;17;1707;170705
2024T2;Porto;Porto;Campanhã;27.6;1;13;1312;131203
2024T2;Porto;Valongo;Alfena;13.8;2;13;1315;131501
2024T2;Leiria;Óbidos;Santa Maria, São Pedro e Sobral da Lagoa;600.0;1;10;1012;101210
2024T2;Santarém;Cartaxo;Cartaxo e Vale da Pinta;300.0;1;14;1406;140609
2024T2;Santarém;Almeirim;Almeirim;200.0;1;14;1403;140301
2024T2;Lisboa;Oeiras;Carnaxide e Queijas;300.0;1;11;1110;111013
2024T2;Aveiro;Espinho;Silvalde;200.0;1;01;0107;010705
2024T2;Guarda;Guarda;Ramela;20.7;1;09;0907;090734
2024T2;Coimbra;Tábua;Tábua;300.0;1;06;0616;061614
2024T2;Lisboa;Lisboa;Belém;400.0;1;11;1106;110658
2024T2;Vila Real;Chaves;Santa Cruz/Trindade e Sanjurge;300.0;1;17;1703;170358
2024T2;Castelo Branco;Covilhã;Covilhã e Canhoso;400.0;1;05;0503;050335
2024T2;Coimbra;Soure;Soure;200.0;1;06;0615;061509
2024T2;Setúbal;Grândola;Grândola e Santa Margarida da Serra;20.7;1;15;1505;150506
2024T2;Bragança;Bragança;Sé, Santa Maria e Meixedo;200.0;2;04;0402;040257
2024T2;Viseu;Tondela;Tondela e Nandufe;10.35;1;18;1821;182132
2024T2;Évora;Vendas Novas;Vendas Novas;200.0;1;07;0712;071201
2024T2;Porto;Paredes;Paredes;200.0;1;13;1310;131025
2024T2;Braga;Guimarães;Urgezes;400.0;1;03;0308;030871
2024T2;Setúbal;Santiago do Cacém;Cercal;6.9;1;15;1509;150903
2024T2;Coimbra;Penacova;Penacova;200.0;1;06;0613;061307
2024T2;Leiria;Pombal;Pombal;200.0;1;10;1015;101509
2024T2;Leiria;Leiria;Leiria, Pousos, Barreira e Cortes;200.0;1;10;1009;100933
2024T2;Vila Real;Chaves;Santa Cruz/Trindade e Sanjurge;400.0;1;17;1703;170358
2024T2;Aveiro;Oliveira de Azeméis;O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail;200.0;1;01;0113;011321
2024T2;Lisboa;Lisboa;Penha de França;200.0;1;11;1106;110663
2024T2;Viana do Castelo;Viana do Castelo;Darque;20.7;2;16;1609;160911
2024T2;Lisboa;Alenquer;Carregado e Cadafais;300.0;1;11;1101;110120
2024T2;Porto;Valongo;Ermesinde;200.0;2;13;1315;131503
2024T2;Porto;Gondomar;Gondomar (São Cosme), Valbom e Jovim;200.0;1;13;1304;130415
2024T2;Viseu;Viseu;Ranhados;200.0;1;18;1823;182321
2024T2;Setúbal;Grândola;Carvalhal;20.7;1;15;1505;150505
2024T2;Setúbal;Santiago do Cacém;Santo André;300.0;1;15;1509;150907
2024T2;Lisboa;Amadora;Mina de Água;300.0;1;11;1115;111516
2024T2;Leiria;Óbidos;Vau;473.0;1;10;1012;101207
2024T2;Viseu;Mortágua;Mortágua, Vale de Remígio, Cortegaça e Almaça;315.0;1;18;1808;180811
2024T2;Viana do Castelo;Ponte de Lima;Ribeira;200.0;1;16;1607;160739
2024T2;Porto;Gondomar;Gondomar (São Cosme), Valbom e Jovim;1680.0;1;13;1304;130415
2024T2;Faro;Faro;Montenegro;400.0;1;08;0805;080506
2024T2;Coimbra;Montemor-o-Velho;Carapinheira;160.0;1;06;0610;061003
2024T2;Setúbal;Almada;Almada, Cova da Piedade, Pragal e Cacilhas;300.0;1;15;1503;150312
2024T2;Porto;Vila do Conde;Vila do Conde;200.0;1;13;1316;131628
2024T2;Santarém;Salvaterra de Magos;Marinhais;200.0;1;14;1415;141502
2024T2;Coimbra;Cantanhede;Cantanhede e Pocariça;200.0;1;06;0602;060220
2024T2;Vila Real;Vila Real;Vila Real;200.0;2;17;1714;171438
2024T2;Leiria;Marinha Grande;Marinha Grande;300.0;1;10;1010;101001
2024T2;Setúbal;Sines;Porto Covo;6.9;1;15;1513;151302
2024T2;Lisboa;Lisboa;Misericórdia;472.5;1;11;1106;110661
2024T2;Leiria;Marinha Grande;Marinha Grande;250.0;2;10;1010;101001
2024T2;Leiria;Leiria;Leiria, Pousos, Barreira e Cortes;300.0;1;10;1009;100933
2024T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;200.0;2;13;1308;130812
2024T2;Lisboa;Cascais;São Domingos de Rana;200.0;2;11;1105;110506
2024T2;Porto;Vila Nova de Gaia;Arcozelo;6.9;1;13;1317;131701
2024T2;Aveiro;Aveiro;Glória e Vera Cruz;100.0;1;01;0105;010517
2024T2;Lisboa;Lisboa;Olivais;400.0;1;11;1106;110633
2024T2;Lisboa;Lisboa;Santo António;1134.0;1;11;1106;110666
