Ano;Semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2024;2;Albergaria-a-Velha;5.0;0102
2024;2;Almeida;2.0;0902
2024;2;Óbidos;2.0;1012
2024;2;Lousã;6.0;0607
2024;2;Guarda;2.0;0907
2024;2;Marinha Grande;1.0;1010
2024;2;Vila Nova de Gaia;4.0;1317
2024;2;Seia;1.0;0912
2024;2;Moita;3.0;1506
2024;2;Arruda dos Vinhos;2.0;1102
2024;2;Covilhã;7.0;0503
2024;2;Coimbra;1.0;0603
2024;2;Loures;3.0;1107
2024;2;Guimarães;4.0;0308
2024;2;Espinho;1.0;0107
2024;2;Alvito;2.0;0203
2024;2;Faro;1.0;0805
2024;2;Cascais;16.0;1105
2025;1;Torres Vedras;1.0;1113
2025;1;Olhão;1.0;0810
2025;1;Santa Comba Dão;1.0;1814
2025;1;Idanha-a-Nova;1.0;0505
2025;1;Mora;1.0;0707
2025;1;Esposende;1.0;0306
2025;1;Ponte de Sor;1.0;1213
2025;1;Sátão;1.0;1817
2025;1;Sintra;2.0;1111
2025;1;Guarda;1.0;0907
2025;1;Viana do Castelo;1.0;1609
2025;1;Caminha;2.0;1602
2025;1;Murça;1.0;1707
2025;1;Palmela;2.0;1508
2025;1;Oliveira de Azeméis;1.0;0113
2025;1;Silves;2.0;0813
2025;1;Santiago do Cacém;2.0;1509
2025;1;Ílhavo;1.0;0110
2025;1;Vila Real;1.0;1714
2021;1;Lousã;1.0;0607
2021;1;Ourique;2.0;0212
2021;1;Oeiras;16.0;1110
2021;1;Moita;1.0;1506
2021;1;Fafe;2.0;0307
2021;1;Valongo;1.0;1315
2021;1;Matosinhos;1.0;1308
2021;1;Tavira;1.0;0814
2021;1;Albergaria-a-Velha;1.0;0102
2021;1;Águeda;2.0;0101
2021;1;Lisboa;4.0;1106
2021;1;Lagoa;2.0;0806
2021;1;Ponte da Barca;1.0;1606
2021;1;Murtosa;1.0;0112
2021;2;Arganil;1.0;0601
2021;2;Grândola;2.0;1505
2021;2;Serpa;1.0;0213
2021;2;Peso da Régua;1.0;1708
2021;2;Resende;1.0;1813
2021;2;Caldas da Rainha;1.0;1006
