Ano;Semestre;Concelho;Potência de Ligação (kW);Processos Concluídos (#);CodConcelho
2025;1;Vila Real;225.09;46.0;1714
2025;1;Alcobaça;757.6300000000001;80.0;1001
2025;1;Pampilhosa da Serra;17.0;3.0;0612
2025;1;Mourão;18.0;2.0;0708
2025;1;Mondim de Basto;25.290000000000003;13.0;1705
2025;1;Campo Maior;206.7;7.0;1204
2025;1;Sernancelhe;31.3;13.0;1818
2025;1;São João da Pesqueira;62.839999999999996;13.0;1815
2025;1;Manteigas;2.23;2.0;0908
2025;1;Pinhel;131.07999999999998;6.0;0910
2025;1;Vieira do Minho;25.380000000000003;6.0;0311
2025;1;Aljezur;36.9;13.0;0803
2025;1;Vila Nova de Foz Côa;74.66;9.0;0914
2025;1;Espinho;9.87;5.0;0107
2025;1;Vila Velha de Ródão;1.8599999999999999;2.0;0511
2024;1;Ponte da Barca;122.25;28.0;1606
2024;1;Penafiel;1643.27;238.0;1311
2024;1;Carrazeda de Ansiães;229.13;29.0;0403
2024;1;Leiria;4162.01;461.0;1009
2024;1;Sátão;146.11;42.0;1817
2024;1;Freixo de Espada À Cinta;46.51;17.0;0404
2024;1;Vila Velha de Ródão;51.93000000000001;20.0;0511
2024;1;Alcobaça;818.4300000000001;226.0;1001
2024;1;Paredes de Coura;218.57;29.0;1605
2024;1;Setúbal;1476.96;232.0;1512
2024;1;Lagos;530.1000000000001;109.0;0807
2024;1;Palmela;4200.54;312.0;1508
2024;1;Marinha Grande;2467.9700000000003;139.0;1010
2024;1;Oliveira de Frades;824.23;50.0;1810
2024;1;Sesimbra;1382.53;242.0;1511
2024;1;Ponte de Sor;184.85999999999999;48.0;1213
2024;1;Estremoz;437.01;48.0;0704
2024;1;Montalegre;107.78999999999999;41.0;1706
2024;1;Sousel;214.1;26.0;1215
2024;1;Vale de Cambra;289.35;78.0;0119
2024;1;Redondo;110.91;33.0;0710
2024;1;Oliveira de Azeméis;1255.28;226.0;0113
2024;1;Castanheira de Pêra;7.319999999999999;4.0;1007
2024;2;Moimenta da Beira;1396.03;32.0;1807
2023;1;Grândola;160.92000000000002;74.0;1505
2023;1;Reguengos de Monsaraz;121.86999999999999;38.0;0711
2023;1;Ferreira do Alentejo;150.35;27.0;0208
2023;1;Alcoutim;21.939999999999998;11.0;0802
2023;1;Alenquer;278.87;209.0;1101
2023;1;Loures;1114.63;327.0;1107
2023;1;Melgaço;103.28;31.0;1603
2023;1;Caminha;227.61;99.0;1602
2023;1;Guarda;306.61;112.0;0907
2023;1;Mira;194.51000000000002;88.0;0608
2023;1;Avis;96.1;14.0;1203
2023;1;Vieira do Minho;119.07999999999998;57.0;0311
2023;1;Tarouca;174.26000000000002;28.0;1820
2023;1;Felgueiras;1220.95;310.0;1303
2023;1;Ourique;139.6;25.0;0212
2023;1;Lousada;491.6;217.0;1305
2023;1;Seia;137.27;63.0;0912
2023;1;Trofa;499.91999999999996;170.0;1318
2023;1;Monção;142.2;58.0;1604
2023;1;Tomar;265.55999999999995;149.0;1418
2023;1;Castanheira de Pêra;9.53;7.0;1007
2023;1;Estarreja;467.20000000000005;113.0;0108
2023;1;Vila de Rei;47.1;14.0;0510
2023;1;Constância;865.2700000000001;29.0;1408
2023;1;Alfândega da Fé;58.71;15.0;0401
2023;1;Mêda;22.71;10.0;0909
2023;1;Lisboa;651.1899999999999;184.0;1106
2023;1;Vila Nova de Poiares;82.69999999999999;55.0;0617
2023;1;Sesimbra;521.25;536.0;1511
2023;1;Mogadouro;76.16;23.0;0408
2023;1;Santa Comba Dão;156.26999999999998;63.0;1814
2023;1;Guimarães;4626.09;1149.0;0308
2023;1;Caldas da Rainha;725.02;262.0;1006
2023;1;Borba;127.03;15.0;0703
2023;1;Monforte;25.33;8.0;1211
2023;1;Castelo de Vide;19.439999999999998;11.0;1205
2023;2;Bragança;345.78999999999996;92.0;0402
2023;2;Sobral de Monte Agraço;28.63;13.0;1112
2023;2;Vila Verde;540.37;140.0;0313
2023;2;Condeixa-a-Nova;97.1;39.0;0604
2023;2;Castelo de Vide;14.62;7.0;1205
2023;2;Trofa;251.79999999999998;66.0;1318
2023;2;Guarda;148.79;50.0;0907
2023;2;Espinho;43.290000000000006;17.0;0107
2023;2;Almeirim;149.31;42.0;1403
2023;2;Maia;514.42;144.0;1306
